url,label
https://example3169.com/path78,benign
https://example6495.com/path68,benign
https://example5209.com/path77,benign
https://example8810.com/path43,benign
https://example1102.com/path94,benign
http://58.5.240.210/login.php,phishing
http://secure-update-account-paypal-xxxxxxxxxxxxxxxxxx.com/login,phishing
http://secure-update-account-paypal-xx.click/login,phishing
https://example5046.com/path8,benign
https://example1109.com/path46,benign
https://example279.com/path91,benign
http://28.33.38.154/login.php,phishing
https://example5078.com/path38,benign
https://example1984.com/path74,benign
http://secure-update-account-paypal-xxxxxxxxxxxxx.xyz/login,phishing
https://example8582.com/path20,benign
http://219.126.190.58/login.php,phishing
https://example1589.com/path30,benign
http://secure-update-account-paypal-x.com/login,phishing
https://example8965.com/path79,benign
https://example5420.com/path10,benign
http://10.213.133.241/login.php,phishing
http://56.151.135.106/login.php,phishing
https://example7268.com/path93,benign
http://secure-update-account-paypal-xxxxxxxxxxxxxxxxxx.ml/login,phishing
http://77.29.218.123/login.php,phishing
http://secure-update-account-paypal-xxxx.tk/login,phishing
https://example6727.com/path51,benign
https://example6046.com/path65,benign
http://secure-update-account-paypal-xxxxxxxxxxxxxx.com/login,phishing
http://secure-update-account-paypal-xxxxxxxxxxxxxx.xyz/login,phishing
https://example2915.com/path78,benign
https://example8407.com/path50,benign
http://secure-update-account-paypal-xx.tk/login,phishing
http://secure-update-account-paypal-xxx.click/login,phishing
https://example3437.com/path52,benign
http://secure-update-account-paypal-xxxxxxxxxxxxxxxx.tk/login,phishing
https://example8451.com/path2,benign
https://example9903.com/path58,benign
http://secure-update-account-paypal-x.ml/login,phishing
https://example7353.com/path89,benign
http://190.67.44.36/login.php,phishing
https://example7035.com/path70,benign
http://123.206.114.81/login.php,phishing
https://example1953.com/path25,benign
https://example4066.com/path89,benign
http://secure-update-account-paypal-xxxxxxxxxxxxx.click/login,phishing
https://example720.com/path78,benign
http://secure-update-account-paypal-x.tk/login,phishing
http://secure-update-account-paypal-xxxxxxxxxxxx.ml/login,phishing
http://41.110.228.246/login.php,phishing
http://36.249.226.27/login.php,phishing
https://example1323.com/path74,benign
http://159.94.67.21/login.php,phishing
https://example6090.com/path73,benign
http://secure-update-account-paypal-xxxx.com/login,phishing
http://104.205.209.124/login.php,phishing
http://201.149.180.241/login.php,phishing
https://example8187.com/path4,benign
https://example8432.com/path76,benign
http://102.36.175.118/login.php,phishing
https://example8930.com/path75,benign
https://example9160.com/path97,benign
https://example5559.com/path19,benign
http://secure-update-account-paypal-xxxxxxxxxxxxx.tk/login,phishing
https://example9190.com/path97,benign
https://example7077.com/path23,benign
https://example8175.com/path31,benign
https://example1209.com/path28,benign
http://secure-update-account-paypal-xxxxxxxxx.com/login,phishing
https://example8269.com/path40,benign
https://example5682.com/path27,benign
http://secure-update-account-paypal-xxx.click/login,phishing
http://104.123.93.191/login.php,phishing
http://223.243.201.188/login.php,phishing
http://secure-update-account-paypal-xxxxxxxxxxxxxxxxxxx.com/login,phishing
https://example4539.com/path54,benign
https://example9891.com/path38,benign
https://example1327.com/path59,benign
https://example3585.com/path82,benign
http://secure-update-account-paypal-xxxxxxxxxxxxxx.tk/login,phishing
https://example5328.com/path45,benign
https://example7836.com/path44,benign
http://245.237.8.154/login.php,phishing
http://49.197.16.16/login.php,phishing
http://secure-update-account-paypal-xxxxxxxxxxxxxxxxx.com/login,phishing
http://secure-update-account-paypal-xxxxx.com/login,phishing
http://142.124.27.97/login.php,phishing
http://34.147.221.43/login.php,phishing
http://secure-update-account-paypal-xxxxxxxxxx.tk/login,phishing
http://140.114.89.178/login.php,phishing
https://example2867.com/path87,benign
